"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"45","Cam Skattebo",NYG,"RB13","35","68","50.0","8.9"
"46","Ladd McConkey",LAC,"WR14","45","63","50.6","4.2"
"47","Dillon Gabriel",CLE,"QB20","40","70","51.5","10.7"
"48","Zay Flowers",BAL,"WR15","45","58","51.8","3.3"
"49","DeVonta Smith",PHI,"WR16","45","66","52.2","4.7"
"50","Jaylen Warren",PIT,"RB14","49","60","53.5","2.5"
"51","Tyler Warren",IND,"TE1","47","77","54.8","11.3"
"52","D'Andre Swift",CHI,"RB15","43","79","57.0","7.4"
"53","Tee Higgins",CIN,"WR17","51","73","58.3","5.3"
"54","Stefon Diggs",NE,"WR18","53","71","60.0","3.4"
"55","Wan'Dale Robinson",NYG,"WR19","57","71","60.5","3.1"
"56","Tetairoa McMillan",CAR,"WR20","44","69","61.2","5.0"
"57","Cam Ward",TEN,"QB21","46","122","62.2","14.8"
"58","Rico Dowdle",CAR,"RB16","55","79","62.8","5.4"
"59","Chase Brown",CIN,"RB17","54","76","63.6","5.6"
"60","Jaylen Waddle",MIA,"WR21","50","74","63.9","6.9"
"61","Quentin Johnston",LAC,"WR22","53","82","64.8","7.2"
"62","Xavier Worthy",KC,"WR23","53","86","65.2","8.1"
"63","Alvin Kamara",NO,"RB18","58","91","67.4","7.3"
"64","Jake Ferguson",DAL,"TE2","47","83","68.9","12.0"
"65","Keenan Allen",LAC,"WR24","51","87","69.0","7.1"
"66","Breece Hall",NYJ,"RB19","37","101","63.2","13.5"
"67","Jordan Addison",MIN,"WR25","55","84","74.3","6.8"
"68","Kimani Vidal",LAC,"RB20","62","91","75.3","7.8"
"69","Tyrod Taylor",NYJ,"QB22","29","177","67.1","38.4"
"70","Rhamondre Stevenson",NE,"RB21","66","86","76.1","5.8"
"71","Tua Tagovailoa",MIA,"QB23","56","244","76.3","35.5"
"72","Romeo Doubs",GB,"WR26","65","89","77.0","6.0"
"73","Tucker Kraft",GB,"TE3","47","85","77.1","6.3"
"74","Khalil Shakir",BUF,"WR27","67","88","78.6","6.6"
"75","Brock Purdy",SF,"QB24","24","237","61.8","57.8"
